
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.10.self_attn.v_proj/ov_ext::linear/MatMul                                               0.459
__module.model.layers.10.self_attn/aten::view/Reshape_2                                                       0.000
__module.model.layers.10.self_attn/aten::transpose/Transpose_2                                                0.011
__module.model.layers.10.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.900
__module.model.layers.10.self_attn/aten::transpose/Transpose_3                                                0.039
__module.model.layers.10.self_attn/aten::reshape/Reshape_2                                                    0.000
__module.model.layers.10.self_attn.o_proj/ov_ext::linear/MatMul                                               1.606
__module.model.layers.10/aten::add/Add                                                                        0.044
__module.model.layers.10.post_attention_layernorm/aten::mul/Multiply_1                                        0.045
__module.model.layers.10.mlp.gate_proj/ov_ext::linear/MatMul                                                  6.962
__module.model.layers.10.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.10.mlp.up_proj/ov_ext::linear/MatMul                                                    6.947
__module.model.layers.10.mlp/aten::mul/Multiply                                                               0.420
__module.model.layers.10.mlp.down_proj/ov_ext::linear/MatMul                                                  9.188
__module.model.layers.10/aten::add/Add_1                                                                      0.056
__module.model.layers.11.input_layernorm/aten::mul/Multiply_1                                                 0.049
__module.model.layers.11.self_attn.q_proj/ov_ext::linear/MatMul                                               1.695
__module.model.layers.11.self_attn/aten::view/Reshape                                                         0.000
__module.model.layers.11.self_attn/aten::add/Add                                                              0.092
__module.model.layers.11.self_attn.k_proj/ov_ext::linear/MatMul                                               0.490
__module.model.layers.11.self_attn/aten::view/Reshape_1                                                       0.000
__module.model.layers.11.self_attn/aten::add/Add_1                                                            0.026
__module.model.layers.11.self_attn.v_proj/ov_ext::linear/MatMul                                               0.472
__module.model.layers.11.self_attn/aten::view/Reshape_2                                                       0.000
__module.model.layers.11.self_attn/aten::transpose/Transpose_2                                                0.010
__module.model.layers.11.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.901
__module.model.layers.11.self_attn/aten::transpose/Transpose_3                                                0.042
__module.model.layers.11.self_attn/aten::reshape/Reshape_2                                                    0.000
__module.model.layers.11.self_attn.o_proj/ov_ext::linear/MatMul                                               1.586
__module.model.layers.11/aten::add/Add                                                                        0.046
__module.model.layers.11.post_attention_layernorm/aten::mul/Multiply_1                                        0.045
__module.model.layers.11.mlp.gate_proj/ov_ext::linear/MatMul                                                  6.869
__module.model.layers.11.mlp.act_fn/aten::silu/Swish                                                          0.000
__module.model.layers.11.mlp.up_proj/ov_ext::linear/MatMul                                                    6.209
__module.model.layers.11.mlp/aten::mul/Multiply                                                               0.247
__module.model.layers.11.mlp.down_proj/ov_ext::linear/MatMul                                                  9.037
__module.model.layers.11/aten::add/Add_1                                                                      0.057
__module.model.layers.12.input_layernorm/aten::mul/Multiply_1                                                 0.046
__module.model.layers.12.self_attn.q_proj/ov_ext::linear/MatMul                                               1.702
__module.model.layers.12.self_attn/aten::view/Reshape                                                         0.000
__module.model.layers.12.self_attn/aten::add/Add                                                              0.094
__module.model.layers.12.self_attn.k_proj/ov_ext::linear/MatMul                                               0.487
__module.model.layers.12.self_attn/aten::view/Reshape_1                                                       0.000
__module.model.layers.12.self_attn/aten::add/Add_1                                                            0.025
__module.model.layers.12.self_attn.v_proj/ov_ext::linear/MatMul                                               0.474
__module.model.layers.12.self_attn/aten::view/Reshape_2                                                       0.000
__module.model.layers.12.self_attn/aten::transpose/Transpose_2                                                0.012
__module.model.layers.12.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention               0.900
__module.model.layers.12.self_attn/aten::transpose/Transpose_3                                                0.042
__module.model.layers.12.self_attn/aten::reshape/Reshape_2                                                    0.000
__module.model.layers.12.self_attn.o_proj/ov_ext::linear/MatMul                                               1.606
__module.model.layers.12/aten::add/Add                                                                        0.046
