
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
Convert_46579                                                                                                 0.062
__module.model.layers.4.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention/fc_output_0          0.066
__module.model.layers.4.self_attn/aten::transpose/Transpose_3                                                 0.028
__module.model.layers.4.self_attn/aten::reshape/Reshape_2                                                     0.004
__module.model.layers.4.self_attn.o_proj/ov_ext::linear/MatMul                                                1.772
__module.model.layers.4/aten::add/Add                                                                         0.049
__module.model.layers.4.post_attention_layernorm/aten::mul/Multiply_1                                         0.045
Multiply_46584                                                                                                0.045
Clamp_46586                                                                                                   0.000
Convert_46587                                                                                                 0.055
Convert_46588                                                                                                 0.062
__module.model.layers.4.post_attention_layernorm/aten::mul/Multiply_1/fc_output_0                             0.042
__module.model.layers.4.mlp.gate_proj/ov_ext::linear/MatMul                                                   6.599
__module.model.layers.4.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.4.mlp.up_proj/ov_ext::linear/MatMul                                                     6.582
__module.model.layers.4.mlp/aten::mul/Multiply                                                                0.236
Multiply_46593                                                                                                0.000
Clamp_46595                                                                                                   0.000
Convert_46596                                                                                                 0.211
Convert_46597                                                                                                 0.235
__module.model.layers.4.mlp/aten::mul/Multiply/fc_output_0                                                    0.210
__module.model.layers.4.mlp.down_proj/ov_ext::linear/MatMul                                                   9.446
__module.model.layers.4/aten::add/Add_1                                                                       0.063
__module.model.layers.5.input_layernorm/aten::mul/Multiply_1                                                  0.054
Multiply_46602                                                                                                0.049
Clamp_46604                                                                                                   0.000
Convert_46605                                                                                                 0.056
Convert_46606                                                                                                 0.061
__module.model.layers.5.input_layernorm/aten::mul/Multiply_1/fc_output_0                                      0.043
__module.model.layers.5.self_attn.q_proj/ov_ext::linear/MatMul                                                1.714
__module.model.layers.5.self_attn/aten::view/Reshape                                                          0.008
__module.model.layers.5.self_attn/aten::add/Add                                                               0.089
Multiply_46611                                                                                                0.075
Clamp_46613                                                                                                   0.000
Convert_46614                                                                                                 0.058
Convert_46615                                                                                                 0.062
__module.model.layers.5.self_attn/aten::add/Add/fc_output_0                                                   0.071
Multiply_32648                                                                                                0.000
Gather_49781                                                                                                  0.005
__module.model.layers.5.self_attn.k_proj/ov_ext::linear/MatMul                                                0.459
__module.model.layers.5.self_attn/aten::view/Reshape_1                                                        0.006
__module.model.layers.5.self_attn/aten::add/Add_1                                                             0.029
__module.model.layers.5.self_attn/aten::cat/Concat_2                                                          0.037
Multiply_46620                                                                                                0.021
Clamp_46622                                                                                                   0.000
Convert_46623                                                                                                 0.019
Convert_46624                                                                                                 0.021
__module.model.layers.5.self_attn/aten::unsqueeze/Unsqueeze_2/fc_input_0                                      0.021
__module.model.layers.5.self_attn/aten::unsqueeze/Unsqueeze_2                                                 0.005
Broadcast_38870                                                                                               0.048
Broadcast_38870_f32_bf16___module.model.layers.5.self_attn/aten::expand/Broadcast                             0.052
__module.model.layers.5.self_attn/aten::expand/Broadcast                                                      0.061
__module.model.layers.5.self_attn/aten::reshape/Reshape                                                       0.005
MatMul_32649                                                                                                  0.155
Add_32651                                                                                                     0.097
Softmax_32652                                                                                                 0.360
Gather_49784                                                                                                  0.007
__module.model.layers.5.self_attn.v_proj/ov_ext::linear/MatMul                                                0.439
__module.model.layers.5.self_attn/aten::view/Reshape_2                                                        0.006
__module.model.layers.5.self_attn/aten::transpose/Transpose_2                                                 0.016
__module.model.layers.5.self_attn/aten::cat/Concat_3                                                          0.040
Multiply_46629                                                                                                0.023
Clamp_46631                                                                                                   0.000
Convert_46632                                                                                                 0.020
