
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.2.self_attn/aten::add/Add                                                               0.121
Multiply_44061                                                                                                0.080
Clamp_44063                                                                                                   0.000
Convert_44064                                                                                                 0.060
Convert_44065                                                                                                 0.065
__module.model.layers.2.self_attn/aten::add/Add/fc_output_0                                                   0.068
Multiply_31308                                                                                                0.000
Gather_49763                                                                                                  0.007
__module.model.layers.2.self_attn.k_proj/ov_ext::linear/MatMul                                                0.433
__module.model.layers.2.self_attn/aten::view/Reshape_1                                                        0.008
__module.model.layers.2.self_attn/aten::add/Add_1                                                             0.030
__module.model.layers.2.self_attn/aten::cat/Concat_2                                                          0.016
Multiply_44070                                                                                                0.022
Clamp_44072                                                                                                   0.000
Convert_44073                                                                                                 0.021
Convert_44074                                                                                                 0.023
__module.model.layers.2.self_attn/aten::unsqueeze/Unsqueeze_2/fc_input_0                                      0.022
__module.model.layers.2.self_attn/aten::unsqueeze/Unsqueeze_2                                                 0.005
Broadcast_36519                                                                                               0.048
Broadcast_36519_f32_bf16___module.model.layers.2.self_attn/aten::expand/Broadcast                             0.058
__module.model.layers.2.self_attn/aten::expand/Broadcast                                                      0.065
__module.model.layers.2.self_attn/aten::reshape/Reshape                                                       0.007
MatMul_31309                                                                                                  0.150
Add_31311                                                                                                     0.098
Softmax_31312                                                                                                 0.363
Gather_49766                                                                                                  0.007
__module.model.layers.2.self_attn.v_proj/ov_ext::linear/MatMul                                                0.404
__module.model.layers.2.self_attn/aten::view/Reshape_2                                                        0.008
__module.model.layers.2.self_attn/aten::transpose/Transpose_2                                                 0.024
__module.model.layers.2.self_attn/aten::cat/Concat_3                                                          0.014
Multiply_44079                                                                                                0.024
Clamp_44081                                                                                                   0.000
Convert_44082                                                                                                 0.020
Convert_44083                                                                                                 0.021
__module.model.layers.2.self_attn/aten::unsqueeze/Unsqueeze_3/fc_input_0                                      0.021
__module.model.layers.2.self_attn/aten::unsqueeze/Unsqueeze_3                                                 0.005
Broadcast_36525                                                                                               0.049
Broadcast_36525_f32_bf16___module.model.layers.2.self_attn/aten::expand/Broadcast_1                           0.055
__module.model.layers.2.self_attn/aten::expand/Broadcast_1                                                    0.070
__module.model.layers.2.self_attn/aten::reshape/Reshape_1                                                     0.006
__module.model.layers.2.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.136
__module.model.layers.2.self_attn/aten::transpose/Transpose_3                                                 0.038
__module.model.layers.2.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.2.self_attn/aten::reshape/Reshape_2_0_0/nncf_smooth_quant                               0.049
Multiply_44088                                                                                                0.000
Clamp_44090                                                                                                   0.000
Convert_44091                                                                                                 0.061
Convert_44092                                                                                                 0.062
__module.model.layers.2.self_attn/aten::reshape/Reshape_2_0_0/nncf_smooth_quant/fc_output_0                   0.045
__module.model.layers.2.self_attn.o_proj/ov_ext::linear/MatMul                                                1.329
__module.model.layers.2/aten::add/Add                                                                         0.057
__module.model.layers.2.post_attention_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant                   0.049
Multiply_44097                                                                                                0.158
Clamp_44099                                                                                                   0.000
Convert_44100                                                                                                 0.061
Convert_44101                                                                                                 0.063
__module.model.layers.2.post_attention_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant/fc_output_0          0.045
__module.model.layers.2.mlp.gate_proj/ov_ext::linear/MatMul                                                   6.067
__module.model.layers.2.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.2.mlp.up_proj/ov_ext::linear/MatMul                                                     7.223
__module.model.layers.2.mlp/aten::mul/Multiply                                                                0.326
__module.model.layers.2.mlp/aten::mul/Multiply_0_0/nncf_smooth_quant                                          0.000
Multiply_44106                                                                                                0.000
Clamp_44108                                                                                                   0.000
Convert_44109                                                                                                 0.276
Convert_44110                                                                                                 0.251
__module.model.layers.2.mlp/aten::mul/Multiply_0_0/nncf_smooth_quant/fc_output_0                              0.316
__module.model.layers.2.mlp.down_proj/ov_ext::linear/MatMul                                                   8.213
__module.model.layers.2/aten::add/Add_1                                                                       0.057
__module.model.layers.3.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant                            0.055
Multiply_44115                                                                                                0.049
Clamp_44117                                                                                                   0.000
Convert_44118                                                                                                 0.058
Convert_44119                                                                                                 0.064
__module.model.layers.3.input_layernorm/aten::mul/Multiply_1_0_0/nncf_smooth_quant/fc_output_0                0.044
__module.model.layers.3.self_attn.q_proj/ov_ext::linear/MatMul                                                1.361
__module.model.layers.3.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.3.self_attn/aten::add/Add                                                               0.090
Multiply_44124                                                                                                0.076
Clamp_44126                                                                                                   0.000
Convert_44127                                                                                                 0.062
