
=== Per-layer Profiling Info ===
Layer Name                                                                                                Time (ms)
__module.model.layers.4.mlp.down_proj/ov_ext::linear/MatMul                                                   9.825
__module.model.layers.4/aten::add/Add_1                                                                       0.058
__module.model.layers.5.input_layernorm/aten::mul/Multiply_1                                                  0.053
__module.model.layers.5.self_attn.q_proj/ov_ext::linear/MatMul                                                1.830
__module.model.layers.5.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.5.self_attn/aten::add/Add                                                               0.095
__module.model.layers.5.self_attn.k_proj/ov_ext::linear/MatMul                                                0.491
__module.model.layers.5.self_attn/aten::view/Reshape_1                                                        0.006
__module.model.layers.5.self_attn/aten::add/Add_1                                                             0.032
__module.model.layers.5.self_attn.v_proj/ov_ext::linear/MatMul                                                0.809
__module.model.layers.5.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.5.self_attn/aten::transpose/Transpose_2                                                 0.021
__module.model.layers.5.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.904
__module.model.layers.5.self_attn/aten::transpose/Transpose_3                                                 0.059
__module.model.layers.5.self_attn/aten::reshape/Reshape_2                                                     0.007
__module.model.layers.5.self_attn.o_proj/ov_ext::linear/MatMul                                                2.148
__module.model.layers.5/aten::add/Add                                                                         0.058
__module.model.layers.5.post_attention_layernorm/aten::mul/Multiply_1                                         0.051
__module.model.layers.5.mlp.gate_proj/ov_ext::linear/MatMul                                                   8.702
__module.model.layers.5.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.5.mlp.up_proj/ov_ext::linear/MatMul                                                     8.607
__module.model.layers.5.mlp/aten::mul/Multiply                                                                0.222
__module.model.layers.5.mlp.down_proj/ov_ext::linear/MatMul                                                  10.238
__module.model.layers.5/aten::add/Add_1                                                                       0.065
__module.model.layers.6.input_layernorm/aten::mul/Multiply_1                                                  0.054
__module.model.layers.6.self_attn.q_proj/ov_ext::linear/MatMul                                                1.892
__module.model.layers.6.self_attn/aten::view/Reshape                                                          0.010
__module.model.layers.6.self_attn/aten::add/Add                                                               0.092
__module.model.layers.6.self_attn.k_proj/ov_ext::linear/MatMul                                                0.475
__module.model.layers.6.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.6.self_attn/aten::add/Add_1                                                             0.029
__module.model.layers.6.self_attn.v_proj/ov_ext::linear/MatMul                                                0.499
__module.model.layers.6.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.6.self_attn/aten::transpose/Transpose_2                                                 0.014
__module.model.layers.6.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.975
__module.model.layers.6.self_attn/aten::transpose/Transpose_3                                                 0.047
__module.model.layers.6.self_attn/aten::reshape/Reshape_2                                                     0.006
__module.model.layers.6.self_attn.o_proj/ov_ext::linear/MatMul                                                2.359
__module.model.layers.6/aten::add/Add                                                                         0.053
__module.model.layers.6.post_attention_layernorm/aten::mul/Multiply_1                                         0.045
__module.model.layers.6.mlp.gate_proj/ov_ext::linear/MatMul                                                   8.473
__module.model.layers.6.mlp.act_fn/aten::silu/Swish                                                           0.000
__module.model.layers.6.mlp.up_proj/ov_ext::linear/MatMul                                                     8.305
__module.model.layers.6.mlp/aten::mul/Multiply                                                                0.224
__module.model.layers.6.mlp.down_proj/ov_ext::linear/MatMul                                                   9.828
__module.model.layers.6/aten::add/Add_1                                                                       0.061
__module.model.layers.7.input_layernorm/aten::mul/Multiply_1                                                  0.051
__module.model.layers.7.self_attn.q_proj/ov_ext::linear/MatMul                                                2.099
__module.model.layers.7.self_attn/aten::view/Reshape                                                          0.009
__module.model.layers.7.self_attn/aten::add/Add                                                               0.090
__module.model.layers.7.self_attn.k_proj/ov_ext::linear/MatMul                                                0.734
__module.model.layers.7.self_attn/aten::view/Reshape_1                                                        0.007
__module.model.layers.7.self_attn/aten::add/Add_1                                                             0.035
__module.model.layers.7.self_attn.v_proj/ov_ext::linear/MatMul                                                0.554
__module.model.layers.7.self_attn/aten::view/Reshape_2                                                        0.007
__module.model.layers.7.self_attn/aten::transpose/Transpose_2                                                 0.019
__module.model.layers.7.self_attn/aten::scaled_dot_product_attention/ScaledDotProductAttention                0.951
__module.model.layers.7.self_attn/aten::transpose/Transpose_3                                                 0.045
__module.model.layers.7.self_attn/aten::reshape/Reshape_2                                                     0.005
__module.model.layers.7.self_attn.o_proj/ov_ext::linear/MatMul                                                1.936
__module.model.layers.7/aten::add/Add                                                                         0.053
__module.model.layers.7.post_attention_layernorm/aten::mul/Multiply_1                                         0.046
__module.model.layers.7.mlp.gate_proj/ov_ext::linear/MatMul                                                   8.212
